id,name,year,api_pitch_group,team_name,bat_side_formatted,miss_distance,flawed_percent,perfect_percent,tied_up_percent,avg_x_tied_up,centered_percent,flailed_percent,avg_x_flail,early_percent,avg_y_early,on_time_percent,late_percent,avg_y_late,n_swings,whiff_rate,competitive_percent,over_percent,avg_z_over,lined_up_percent,under_percent,avg_z_under,window_start,window_end,window_num
657077,Alex Verdugo,2023,FF,Red Sox,L,,0,0.5,0,,1,0,,0,,0.8333333333333334,0.16666666666666666,-7.450126943387625,6,0,1,0,,1,0,,2023-07-01,2023-07-14,14
444482,David Peralta,2023,FF,Dodgers,L,0.432599628,0,0.16666666666666666,0,,0.8333333333333334,0.16666666666666666,5.505613064588587,0,,0.8333333333333334,0.16666666666666666,-9.121840969700518,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,-2.6606401396581,0.3333333333333333,0.5,2.297811409109149,2023-07-01,2023-07-14,14
668939,Adley Rutschman,2023,FF,Orioles,L,,0,0.3333333333333333,0,,0.8333333333333334,0.16666666666666666,7.090952350473113,0,,0.6666666666666666,0.3333333333333333,-8.164483007338776,6,0,1,0,,0.3333333333333333,0.6666666666666666,3.100017129296247,2023-07-01,2023-07-14,14
594807,Adam Duvall,2023,FF,Red Sox,R,0.476884368,0,0,0,,0.8333333333333334,0.16666666666666666,4.51247732440677,0,,0.5,0.5,-9.24719016700886,6,0.3333333333333333,1,0,,0.16666666666666666,0.8333333333333334,2.7914529034822095,2023-07-01,2023-07-14,14
592669,Hunter Renfroe,2023,FF,Angels,R,,0,0.5,0.16666666666666666,-6.11020855057566,0.6666666666666666,0.16666666666666666,6.753770451421989,0,,1,0,,6,0,0.8333333333333334,0.16666666666666666,-2.4854212845037353,0.8333333333333334,0,,2023-07-01,2023-07-14,14
668709,JJ Bleday,2023,FF,Athletics,L,0.548259024,0,0.3333333333333333,0,,0.5,0.5,5.593387158909294,0,,1,0,,6,0.16666666666666666,1,0,,0.5,0.5,3.016941953610921,2023-07-01,2023-07-14,14
592626,Joc Pederson,2023,CU,Giants,L,10.700522076,0.16666666666666666,0.16666666666666666,0,,0.6666666666666666,0.3333333333333333,10.551156505468011,0.16666666666666666,26.632695297489192,0.5,0.3333333333333333,-11.353097700082984,6,0.3333333333333333,1,0.16666666666666666,-4.888672718377541,0.16666666666666666,0.6666666666666666,2.603669011919571,2023-07-01,2023-07-14,14
666182,Bo Bichette,2023,FF,Blue Jays,R,0.739089978,0.16666666666666666,0.3333333333333333,0,,0.5,0.5,7.31392692114736,0,,0.5,0.5,-10.267923837582302,6,0.3333333333333333,0.8333333333333334,0,,0.5,0.5,3.6573787426973006,2023-07-01,2023-07-14,14
608070,José Ramírez,2023,FF,Guardians,S,,0,0.16666666666666666,0.3333333333333333,-5.639032683684617,0.6666666666666666,0,,0,,0.8333333333333334,0.16666666666666666,-7.475339034517377,6,0,1,0,,0.6666666666666666,0.3333333333333333,2.59093233231691,2023-07-01,2023-07-14,14
592192,Mark Canha,2023,FF,Mets,R,,0,0.3333333333333333,0,,0.8333333333333334,0.16666666666666666,6.894226937866808,0,,0.6666666666666666,0.3333333333333333,-17.930610039438857,6,0,0.8333333333333334,0,,0.6666666666666666,0.3333333333333333,3.499919960076658,2023-07-01,2023-07-14,14
673548,Seiya Suzuki,2023,FF,Cubs,R,0.777638376,0,0,0,,0.8333333333333334,0.16666666666666666,5.206102594852478,0,,0.8333333333333334,0.16666666666666666,-9.586098417678098,6,0.16666666666666666,1,0,,0.6666666666666666,0.3333333333333333,2.977041188052606,2023-07-01,2023-07-14,14
665750,Leody Taveras,2023,FF,Rangers,L,,0,0.5,0,,0.8333333333333334,0.16666666666666666,7.052858844510716,0.16666666666666666,8.766791972926963,0.8333333333333334,0,,6,0,1,0,,1,0,,2023-07-01,2023-07-14,14
572233,Christian Walker,2023,FF,Diamondbacks,R,0.534107748,0,0.16666666666666666,0.6666666666666666,-6.166268777338162,0.3333333333333333,0,,0,,0.8333333333333334,0.16666666666666666,-7.161648806422918,6,0.16666666666666666,1,0,,0.6666666666666666,0.3333333333333333,2.5036034003231906,2023-07-01,2023-07-14,14
621563,Joey Wendle,2023,CH,Marlins,L,2.58850176,0.3333333333333333,0.16666666666666666,0,,0.5,0.5,6.381853709769749,0.5,12.404717601221629,0.5,0,,6,0.6666666666666666,0.8333333333333334,0.6666666666666666,-3.390047458243159,0.3333333333333333,0,,2023-07-01,2023-07-14,14
624585,Jorge Soler,2023,FF,Marlins,R,3.649306048,0,0.16666666666666666,0.16666666666666666,-6.610735369816478,0.6666666666666666,0.16666666666666666,21.29556929902856,0.16666666666666666,11.026101298941157,0.8333333333333334,0,,6,0.5,1,0.3333333333333333,-2.760939358835822,0.6666666666666666,0,,2023-07-01,2023-07-14,14
641313,Tim Anderson,2023,CU,White Sox,R,7.960394808,0.16666666666666666,0,0,,0.5,0.5,11.888488164562288,1,15.897505575763715,0,0,,6,0.3333333333333333,0.8333333333333334,0.16666666666666666,-2.5976501210374905,0.8333333333333334,0,,2023-07-01,2023-07-14,14
641355,Cody Bellinger,2023,FF,Cubs,L,1.11969722,0.16666666666666666,0.5,0,,0.8333333333333334,0.16666666666666666,5.243983732770371,0,,0.6666666666666666,0.3333333333333333,-12.056889837802833,6,0.3333333333333333,1,0,,0.5,0.5,3.4482018714852702,2023-07-01,2023-07-14,14
665161,Jeremy Peña,2023,CU,Astros,R,3.412328184,0.3333333333333333,0.16666666666666666,0,,0.3333333333333333,0.6666666666666666,8.242268514594915,0.3333333333333333,13.918559809901199,0.5,0.16666666666666666,-14.171167879338078,6,0.5,0.8333333333333334,0.3333333333333333,-2.8929242379746007,0.5,0.16666666666666666,4.48439934472906,2023-07-01,2023-07-14,14
665155,Nick Maton,2023,FF,Tigers,L,,0,0,0,,0.8333333333333334,0.16666666666666666,5.4446039216466104,0,,0.3333333333333333,0.6666666666666666,-13.475828586166434,6,0,0.6666666666666666,0,,0,1,2.881952371919988,2023-07-01,2023-07-14,14
664983,Jake McCarthy,2023,CH,Diamondbacks,L,3.409584069,0,0,0,,0.16666666666666666,0.8333333333333334,8.967562633526917,0.8333333333333334,10.999791198362807,0.16666666666666666,0,,6,0.5,0.8333333333333334,0.16666666666666666,-2.116475569511904,0.8333333333333334,0,,2023-07-01,2023-07-14,14
642086,Dominic Smith,2023,FF,Nationals,L,1.421768472,0,0.3333333333333333,0.16666666666666666,-5.0715140633558775,0.6666666666666666,0.16666666666666666,5.689202597868224,0,,0.8333333333333334,0.16666666666666666,-13.898873548435905,6,0.16666666666666666,0.8333333333333334,0,,0.5,0.5,3.148575488870358,2023-07-01,2023-07-14,14
642708,Amed Rosario,2023,CU,Guardians,R,0.505597224,0,0,0,,0.3333333333333333,0.6666666666666666,6.463055953523737,0.3333333333333333,10.423214295489357,0.6666666666666666,0,,6,0.16666666666666666,0.6666666666666666,0,,0.5,0.5,2.4905580017086635,2023-07-01,2023-07-14,14
676116,Ryan Noda,2023,FF,Athletics,L,,0,0.5,0.16666666666666666,-6.026016008791711,0.8333333333333334,0,,0,,0.8333333333333334,0.16666666666666666,-9.296204708724781,6,0,1,0,,0.6666666666666666,0.3333333333333333,2.639973392144032,2023-07-01,2023-07-14,14
664034,Ty France,2023,FF,Mariners,R,1.837964916,0.16666666666666666,0.16666666666666666,0.3333333333333333,-4.6134515896575685,0.5,0.16666666666666666,17.336187966006054,0,,0.5,0.5,-12.981564227898724,6,0.16666666666666666,0.8333333333333334,0,,0.8333333333333334,0.16666666666666666,4.658095900814901,2023-07-01,2023-07-14,14
663993,Nathaniel Lowe,2023,FF,Rangers,L,0.693471132,0.16666666666666666,0.3333333333333333,0.16666666666666666,-7.086045710597688,0.6666666666666666,0.16666666666666666,8.188551042127347,0,,0.8333333333333334,0.16666666666666666,-14.307857309849794,6,0.16666666666666666,1,0,,0.5,0.5,2.652030119321925,2023-07-01,2023-07-14,14
542303,Marcell Ozuna,2023,FF,Braves,R,,0,0.3333333333333333,0,,0.8333333333333334,0.16666666666666666,4.806839343594813,0,,0.8333333333333334,0.16666666666666666,-8.345579143633975,6,0,1,0.16666666666666666,-2.403413118517641,0.8333333333333334,0,,2023-07-01,2023-07-14,14
543063,Brandon Crawford,2023,CU,Giants,L,4.576780188,0.3333333333333333,0.16666666666666666,0,,0.5,0.5,8.166637469682,0.6666666666666666,13.940792156293055,0.3333333333333333,0,,6,0.3333333333333333,1,0.3333333333333333,-3.603286803846649,0.6666666666666666,0,,2023-07-01,2023-07-14,14
663586,Austin Riley,2023,FF,Braves,R,3.454456935,0.3333333333333333,0,0,,0.3333333333333333,0.6666666666666666,9.748099090923322,0,,0.6666666666666666,0.3333333333333333,-12.882311800290893,6,0.6666666666666666,0.5,0.16666666666666666,-7.348358724957181,0.5,0.3333333333333333,3.3729093073046803,2023-07-01,2023-07-14,14
547180,Bryce Harper,2023,CU,Phillies,L,8.204083504,0.3333333333333333,0.3333333333333333,0,,0.5,0.5,17.274248008859484,0.5,23.909559618979156,0.5,0,,6,0.5,0.8333333333333334,0.3333333333333333,-4.556734926477194,0.5,0.16666666666666666,2.5893838212407734,2023-07-01,2023-07-14,14
592885,Christian Yelich,2023,FF,Brewers,L,,0,0.3333333333333333,0.16666666666666666,-4.042354958287024,0.6666666666666666,0.16666666666666666,76.92823594199233,0,,0.5,0.5,-12.520795541287072,6,0,0.8333333333333334,0,,1,0,,2023-07-01,2023-07-14,14
650402,Gleyber Torres,2023,FF,Yankees,R,,0,0,0,,0.8333333333333334,0.16666666666666666,5.255497205633013,0,,0.5,0.5,-8.148391726501858,6,0,0.8333333333333334,0,,0.8333333333333334,0.16666666666666666,2.113933409596551,2023-07-01,2023-07-14,14
